model,acc_mean,acc_std,rmse_mean,rmse_std,mae_mean,mae_std
SNN_V2,0.8978000000000002,0.024127992042439005,0.3172552823763816,0.03935842736038093,0.10220000000000001,0.024127992042439008
FENS_MLP_V4,0.9926,0.004498888751680801,0.07594009459486367,0.04041165714151251,0.0074,0.004498888751680797
SCOFNA_Conv_V4,0.991,0.02097617696340303,0.04337664322839219,0.08437100700025323,0.009000000000000001,0.020976176963403034
